assembly_accession	organism_name	species_taxid	refseq_category
GCF_001667885.1	Mycobacterium scrofulaceum	1783	representative genome
GCF_010727605.1	Mycobacterium simiae	1784	representative genome
GCF_013337765.1	Mycolicibacterium sphagni	1786	representative genome
GCF_002116635.1	Mycobacterium szulgai	1787	representative genome
GCF_900187145.1	Mycolicibacter terrae	1788	representative genome
GCF_900453395.1	Mycobacterium xenopi	1789	representative genome
GCF_001673635.1	Mycobacterium asiaticum	1790	representative genome
GCF_900637195.1	Mycolicibacterium aurum	1791	representative genome
GCF_900637205.1	Mycolicibacterium chitae	1792	representative genome
GCF_010726955.1	Mycolicibacterium fallax	1793	representative genome
GCF_010728925.1	Mycolicibacterium gadium	1794	representative genome
GCF_000317305.3	Mycolicibacterium neoaurum VKM Ac-1815D	1795	representative genome
GCF_900187065.1	Mycolicibacterium thermoresistibile	1797	representative genome
GCF_002102395.1	Mycolicibacillus trivialis	1798	representative genome
GCF_010726245.1	Mycolicibacterium aichiense	1799	representative genome
GCF_900453455.1	Mycolicibacterium chubuense	1800	representative genome
GCF_001907655.1	Mycolicibacterium diernhoferi	1801	representative genome
GCF_000723385.1	Mycolicibacterium farcinogenes	1802	representative genome
GCF_000184435.1	Mycolicibacterium gilvum Spyr1	1804	representative genome
GCF_004359005.1	Mycolicibacterium obuense	1807	representative genome
GCF_001655245.1	Mycolicibacterium vaccae 95051	1810	representative genome
GCF_000371885.1	Amycolatopsis methanolica 239	1814	representative genome
GCF_001613305.1	Nocardia vaccinii NBRC 15922	1822	representative genome
GCF_007362295.1	Nocardia otitidiscaviarum	1823	representative genome
GCF_900637185.1	Nocardia asteroides	1824	representative genome
GCF_000760935.2	Rhodococcus fascians A25f	1828	representative genome
GCF_009883715.1	Rhodococcus rhodochrous	1829	representative genome
GCF_002741725.1	Rhodococcus ruber	1830	representative genome
GCF_000010105.1	Rhodococcus erythropolis PR4	1833	representative genome
GCF_000062885.1	Saccharopolyspora erythraea NRRL 2338	1836	representative genome
GCF_008630535.1	Saccharopolyspora hirsuta	1837	representative genome
GCF_013410345.1	Saccharopolyspora hordei	1838	representative genome
GCF_001552535.1	Nocardioides jensenii JCM 1364 = NBRC 14755	1843	representative genome
GCF_000960475.2	Nocardioides luteus	1844	representative genome
GCF_900142365.1	Pseudonocardia thermophila	1848	representative genome
GCF_000371785.1	Actinopolyspora halophila DSM 43834	1850	representative genome
GCF_000023865.1	Saccharomonospora viridis DSM 43017	1852	representative genome
GCF_000948395.1	Frankia torreyi	1856	representative genome
GCF_000058485.1	Frankia alni ACN14a	1859	representative genome
GCF_900115395.1	Geodermatophilus obscurus	1861	representative genome
GCF_900187045.1	Dermatophilus congolensis	1863	representative genome
GCF_000284295.1	Actinoplanes missouriensis 431	1866	representative genome
GCF_003711105.1	Actinoplanes teichomyceticus ATCC 31121	1867	representative genome
GCF_000785985.1	Actinoplanes utahensis	1869	representative genome
GCF_002926165.1	Micromonospora chalcea	1874	representative genome
GCF_900091495.1	Micromonospora echinospora	1877	representative genome
GCF_007830265.1	Micromonospora olivasterospora	1880	representative genome
GCF_900091545.1	Micromonospora viridifaciens	1881	representative genome
GCF_003208035.1	Streptomyces actuosus	1885	representative genome
GCF_001577385.1	Streptomyces albidoflavus	1886	representative genome
GCF_000813365.1	Streptomyces albus	1888	representative genome
GCF_001267885.1	Streptomyces ambofaciens ATCC 23877	1889	representative genome
GCF_002019855.1	Streptomyces antibioticus	1890	representative genome
GCF_001434355.1	Streptomyces anulatus	1892	representative genome
GCF_900119365.1	Streptomyces atratus	1893	representative genome
GCF_002082605.1	Kitasatospora aureofaciens	1894	representative genome
GCF_000716625.1	Streptomyces bikiniensis	1896	representative genome
GCF_013085465.1	Streptomyces cacaoi subsp. asoensis	1898	representative genome
GCF_001693675.1	Streptomyces clavuligerus	1901	representative genome
GCF_013363625.1	Streptomyces coelicolor	1902	representative genome
GCF_001514055.1	Streptomyces corchorusii	1903	representative genome
GCF_004028635.1	Streptomyces cyaneus	1904	representative genome
GCF_005517195.1	Streptomyces exfoliatus	1905	representative genome
GCF_008704425.1	Streptomyces fradiae ATCC 10745 = DSM 40063	1906	representative genome
GCF_000761215.1	Streptomyces glaucescens	1907	representative genome
GCF_000261345.2	Streptomyces globisporus C-1027	1908	representative genome
GCF_000514055.1	Streptomyces griseolus	1909	representative genome
GCF_000932225.2	Streptomyces griseus	1911	representative genome
GCF_001705785.1	Streptomyces hygroscopicus subsp. hygroscopicus	1912	representative genome
GCF_002803845.1	Streptomyces lavendulae subsp. lavendulae	1914	representative genome
GCF_003344445.1	Streptomyces lincolnensis	1915	representative genome
GCF_001418655.1	Streptomyces phaeochromogenes	1923	representative genome
GCF_008704655.1	Streptomyces rimosus	1927	representative genome
GCF_002155895.1	Streptomyces rochei	1928	representative genome
GCF_000091305.1	Streptomyces scabiei 87.22	1930	representative genome
GCF_008632955.1	Streptomyces tendae	1932	representative genome
GCF_002155915.1	Streptomyces thermovulgaris	1934	representative genome
GCF_002082175.1	Streptomyces violaceoruber	1935	representative genome
GCF_000158955.1	Streptomyces viridochromogenes DSM 40736	1938	representative genome
GCF_002192455.1	Streptomyces albireticuli	1940	representative genome
GCF_003263925.1	Streptomyces badius	1941	representative genome
GCF_001514205.1	Streptomyces griseoruber	1943	representative genome
GCF_000720535.1	Streptomyces halstedii	1944	representative genome
GCF_009600885.1	Streptomyces jumonjinensis	1945	representative genome
GCF_002261115.1	Streptomyces kasugaensis	1946	representative genome
GCF_002777535.1	Streptomyces peucetius subsp. caesius ATCC 27952	1950	representative genome
GCF_000384175.1	Streptomyces purpureus KA281	1951	representative genome
GCF_012034235.1	Streptomyces thermoviolaceus subsp. thermoviolaceus	1952	representative genome
GCF_003112575.1	Streptomyces diastaticus subsp. ardesiacus	1956	representative genome
GCF_008704935.1	Streptomyces vinaceus	1960	representative genome
GCF_000720455.1	Streptomyces virginiae	1961	representative genome
GCF_002335465.1	Streptomyces olivochromogenes	1963	representative genome
GCF_008704495.1	Streptomyces kanamyceticus	1967	representative genome
GCF_000721105.1	Streptomyces cellulosae	1968	representative genome
GCF_008704715.1	Streptomyces chartreusis	1969	representative genome
GCF_013030945.1	Streptomyces morookaense	1970	representative genome
GCF_001704275.1	Streptomyces noursei ATCC 11455	1971	representative genome
GCF_000381885.1	Actinomadura atramentaria DSM 43919	1990	representative genome
GCF_900108175.1	Actinomadura echinospora	1992	representative genome
GCF_900115095.1	Actinomadura madurae	1993	representative genome
GCF_001570365.1	Microtetraspora fusca	1997	representative genome
GCF_000024865.1	Streptosporangium roseum DSM 43021	2001	representative genome
GCF_000721075.1	Streptosporangium amethystogenes	2002	representative genome
GCF_000092645.1	Thermobispora bispora DSM 43833	2006	representative genome
GCF_002260685.1	Nocardiopsis dassonvillei	2014	representative genome
GCF_000341265.1	Nocardiopsis prasina DSM 43845	2015	representative genome
GCF_900129375.1	Streptoalloteichus hindustanus	2017	representative genome
GCF_000024385.1	Thermomonospora curvata DSM 43183	2020	representative genome
GCF_000012405.1	Thermobifida fusca YX	2021	representative genome
GCF_005886755.1	Thermoactinomyces vulgaris	2026	representative genome
GCF_900176515.1	Kibdelosporangium aridum	2030	representative genome
GCF_006539145.1	Microbacterium testaceum	2033	representative genome
GCF_013348005.1	Curtobacterium flaccumfaciens pv. flaccumfaciens	2035	representative genome
GCF_006715175.1	Curtobacterium citreum	2036	representative genome
GCF_000376505.2	Tropheryma whipplei str. Neuro14	2039	representative genome
GCF_001509405.1	Aeromicrobium erythreum	2041	representative genome
GCF_000785495.1	Pimelobacter simplex	2045	representative genome
GCF_000164695.2	Rothia dentocariosa ATCC 17931	2047	representative genome
GCF_000196535.1	Mobiluncus curtisii ATCC 43063	2051	representative genome
GCF_900450465.1	Mobiluncus mulieris	2052	representative genome
GCF_000024785.1	Gordonia bronchialis DSM 43247	2054	representative genome
GCF_901542405.1	Gordonia terrae	2055	representative genome
GCF_000024985.1	Sphaerobacter thermophilus DSM 20745	2057	representative genome
GCF_900631615.1	Tsukamurella paurometabola	2061	representative genome
GCF_000836635.1	Kitasatospora griseola	2064	representative genome
GCF_000716545.1	Kitasatospora phosalacinea	2065	representative genome
GCF_000269985.1	Kitasatospora setae KM-6054	2066	representative genome
GCF_003634935.1	Saccharothrix australiensis	2072	representative genome
GCF_003945385.1	Pseudonocardia autotrophica	2074	representative genome
GCF_006539285.1	Sporolactobacillus inulinus	2078	representative genome
GCF_003550015.1	Anaeroplasma bactoclasticum	2088	representative genome
GCF_001547975.1	Mycoplasma arginini	2094	representative genome
GCF_000012765.1	Mycoplasma capricolum subsp. capricolum ATCC 27343	2095	representative genome
GCF_000286675.1	Mycoplasma gallisepticum VA94_7994-1-7P	2096	representative genome
GCF_000027325.1	Mycoplasma genitalium G37	2097	representative genome
GCF_013367895.1	Mycoplasma hominis	2098	representative genome
GCF_000400855.1	Mycoplasma hyopneumoniae 168-L	2099	representative genome
GCF_000313635.1	Mycoplasma hyorhinis SK76	2100	representative genome
GCF_000023685.1	Mycoplasma mycoides subsp. capri str. GM12	2102	representative genome
GCF_001272835.1	Mycoplasma pneumoniae FH	2104	representative genome
GCF_000253095.1	Mycoplasma leachii 99/014/6	2105	representative genome
GCF_000195875.1	Mycoplasma pulmonis UAB CTIP	2107	representative genome
GCF_013393745.1	Mycoplasma synoviae	2109	representative genome
GCF_009150585.1	Mycoplasma agalactiae	2110	representative genome
GCF_900660715.1	Mycoplasma arthritidis	2111	representative genome
GCF_002356075.1	Mycoplasma bovigenitalium	2112	representative genome
GCF_003925935.1	Mycoplasmopsis californica	2113	representative genome
GCF_002930155.1	Entomoplasma ellychniae	2114	representative genome
GCF_000186005.1	Mycoplasma fermentans M64	2115	representative genome
GCF_900660615.1	Mycoplasma iowae	2116	representative genome
GCF_000008365.1	Mycoplasma mobile 163K	2118	representative genome
GCF_900660485.1	Mycoplasma neurolyticum	2120	representative genome
GCF_000420105.1	Mycoplasma orale ATCC 23714	2121	representative genome
GCF_000685905.1	Mycoplasma pirum ATCC 25960	2122	representative genome
GCF_900476175.1	Mycoplasma putrefaciens	2123	representative genome
GCF_000485555.1	Mycoplasma salivarium ATCC 23064	2124	representative genome
GCF_000701825.1	Mycoplasma collis ATCC 35278	2127	representative genome
GCF_000815065.1	Mycoplasma flocculare ATCC 27399	2128	representative genome
GCF_000021265.1	Ureaplasma urealyticum serovar 10 str. ATCC 33699	2130	representative genome
GCF_001886855.1	Spiroplasma citri	2133	representative genome
GCF_000328865.1	Spiroplasma melliferum IPMB4A	2134	representative genome
GCF_002865545.1	Spiroplasma monobiae MQ-1	2136	representative genome
GCF_000500935.1	Spiroplasma apis B31	2137	representative genome
GCF_009866525.1	Spiroplasma poulsonii	2138	representative genome
GCF_002795265.1	Spiroplasma clarkii	2139	representative genome
GCF_004379335.1	Spiroplasma gladiatoris	2143	representative genome
GCF_000517365.1	Spiroplasma mirum ATCC 29335	2144	representative genome
GCF_000439435.1	Spiroplasma taiwanense CT-1	2145	representative genome
GCF_000018785.1	Acholeplasma laidlawii PG-8A	2148	representative genome
GCF_002749675.1	Mesoplasma entomophilum	2149	representative genome
GCF_000687835.1	Acholeplasma modicum ATCC 29102	2150	representative genome
GCF_000008305.1	Mesoplasma florum L1	2151	representative genome
GCF_000373985.1	Desulfobacter curvatus DSM 3379	2290	representative genome
GCF_004319545.1	Desulfobacter hydrogenophilus	2291	representative genome
GCF_013389365.1	Desulfobacter latus	2292	representative genome
GCF_000233695.2	Desulfobacter postgatei 2ac9	2293	representative genome
GCF_000020365.1	Desulfobacterium autotrophicum HRM2	2296	representative genome
GCF_900176365.1	Desulfobacterium vacuolatum DSM 3385	2298	representative genome
GCF_000763575.1	Thermoanaerobacter kivui	2325	representative genome
GCF_000165465.1	Halanaerobium praevalens DSM 2228	2331	representative genome
GCF_000230655.2	Thermotoga maritima MSB8	2336	representative genome
GCF_000018945.1	Thermotoga neapolitana DSM 4359	2337	representative genome
GCF_000212735.1	Haliscomenobacter hydrossis DSM 1100	2350	representative genome
GCF_000218625.1	Flexistipes sinusarabici DSM 4947	2352	representative genome
GCF_000266945.1	Desulfomonile tiedjei DSM 6799	2358	representative genome
GCF_000374645.1	Arhodomonas aquaeolei DSM 8974	2369	representative genome
GCF_000007245.1	Xylella fastidiosa Temecula1	2371	representative genome
GCF_000219125.1	Acetonema longum DSM 6540	2374	representative genome
GCF_007641255.1	Sporomusa termitida	2377	representative genome
GCF_000445445.1	Sporomusa ovata DSM 2662	2378	representative genome
GCF_900112085.1	Acetitomaculum ruminis DSM 5522	2382	representative genome
GCF_000021285.1	Thermosipho africanus TCF52B	2421	representative genome
GCF_000767275.2	Fervidobacterium islandicum	2423	representative genome
GCF_000017545.1	Fervidobacterium nodosum Rt17-B1	2424	representative genome
GCF_000620425.1	Teredinibacter turnerae 1133Y.S.0a.04	2426	representative genome
GCF_002983865.1	Roseobacter denitrificans	2434	representative genome
GCF_009877435.1	Heliobacterium gestii	2699	representative genome
GCF_002862045.1	Gardnerella vaginalis	2702	representative genome
GCF_900637305.1	Cardiobacterium hominis	2718	representative genome
GCF_000023785.1	Hirschia baltica ATCC 49814	2724	representative genome
GCF_000009905.1	Symbiobacterium thermophilum IAM 14863	2734	representative genome
GCF_000172155.1	Verrucomicrobium spinosum DSM 4136 = JCM 18804	2736	representative genome
GCF_900163795.1	Vagococcus fluvialis bH819	2738	representative genome
GCF_003987495.1	Vagococcus salmoninarum	2739	representative genome
GCF_900101835.1	Peptococcus niger	2741	representative genome
GCF_000284615.1	Marinobacter hydrocarbonoclasticus ATCC 49840	2743	representative genome
GCF_000196875.2	Halomonas elongata DSM 2581	2746	representative genome
GCF_001703555.1	Carnobacterium divergens	2748	representative genome
GCF_000744375.1	Carnobacterium gallinarum DSM 4847	2749	representative genome
GCF_000744825.1	Carnobacterium mobile DSM 4848	2750	representative genome
GCF_004564725.1	Carnobacterium maltaromaticum	2751	representative genome
GCF_000744185.1	Carnobacterium funditum DSM 5970	2752	representative genome
GCF_001757415.1	Synergistes jonesii	2754	representative genome
GCF_002442515.1	Brochothrix thermosphacta	2756	representative genome
GCF_000525915.1	Brochothrix campestris FSL F6-1037	2757	representative genome
GCF_001552295.1	Globicatella sanguinis NBRC 15551	13076	representative genome
GCF_003350205.1	Brevundimonas bullata	13160	representative genome
GCF_006716265.1	Rarobacter faecitabidus	13243	representative genome
GCF_000384655.1	Brachyspira innocens ATCC 29796	13264	representative genome
GCF_900460215.1	Suttonella indologenes	13276	representative genome
GCF_000482845.1	Anaerobiospirillum succiniciproducens DSM 6400	13335	representative genome
GCF_002346025.1	Burkholderia mallei	13373	representative genome
GCF_001598375.1	Novosphingobium capsulatum NBRC 12533	13688	representative genome
GCF_003314795.2	Sphingomonas paucimobilis	13689	representative genome
GCF_002504085.1	Sphingobium yanoikuyae	13690	representative genome
GCF_003428375.1	Bifidobacterium animalis subsp. lactis	28025	representative genome
GCF_003952825.1	Bifidobacterium pseudocatenulatum	28026	representative genome
GCF_001941465.1	Corynebacterium flavescens	28028	representative genome
GCF_000755455.1	Lysinibacillus fusiformis	28031	representative genome
GCF_001280565.1	Sulfobacillus thermosulfidooxidans	28034	representative genome
GCF_001558775.1	Staphylococcus lugdunensis	28035	representative genome
GCF_002014795.1	Streptococcus mitis	28037	representative genome
GCF_004101845.1	Lactobacillus curvatus JCM 1096 = DSM 20019	28038	representative genome
GCF_000710755.1	Saccharopolyspora rectivirgula	28042	representative genome
GCF_002742165.1	Mycobacterium celatum	28045	representative genome
GCF_010729895.1	Mycolicibacterium confluentis	28047	representative genome
GCF_000015025.1	Acidothermus cellulolyticus 11B	28049	representative genome
GCF_000702205.1	Lachnospira multipara LB2003	28051	representative genome
GCF_900103815.1	Lachnospira pectinoschiza	28052	representative genome
GCF_009720735.1	Heliobacillus mobilis	28064	representative genome
GCF_002017865.1	Rhodoferax fermentans	28066	representative genome
GCF_000284255.1	Rubrivivax gelatinosus IL144	28068	representative genome
GCF_000730165.1	Nitrospirillum amazonense CBAmc	28077	representative genome
GCF_013372245.1	Campylobacter upsaliensis RM3940	28080	representative genome
GCF_003176875.1	Legionella anisa	28082	representative genome
GCF_900452515.1	Legionella birminghamensis	28083	representative genome
GCF_000621385.1	Legionella cherrii DSM 19213	28084	representative genome
GCF_900452415.1	Legionella cincinnatiensis	28085	representative genome
GCF_002848365.2	Legionella sainthelensi	28087	representative genome
GCF_900452925.1	Legionella wadsworthii	28088	representative genome
GCF_900444925.1	Acinetobacter lwoffii	28090	representative genome
GCF_900638685.1	Neisseria weaveri	28091	representative genome
GCF_902833845.1	Robbsia andropogonis	28092	representative genome
GCF_007097545.1	Trinickia caryophylli	28094	representative genome
GCF_900608535.1	Burkholderia gladioli	28095	representative genome
GCF_000739935.1	Agrobacterium rubi TR3 = NBRC 13261	28099	representative genome
GCF_003350115.1	Phyllobacterium myrsinacearum	28101	representative genome
GCF_002221525.1	Pseudoalteromonas espejiana DSM 9414	28107	representative genome
GCF_002849875.1	Alteromonas macleodii	28108	representative genome
GCF_007991255.1	Pseudoalteromonas nigrifaciens	28109	representative genome
GCF_000833255.1	Francisella philomiragia	28110	representative genome
GCF_900445565.1	Bacteroides eggerthii	28111	representative genome
GCF_900096715.1	Tannerella forsythia	28112	representative genome
GCF_002998535.1	Bacteroides heparinolyticus	28113	representative genome
GCF_000379925.1	Porphyromonas levii DSM 23370	28114	representative genome
GCF_000379945.1	Porphyromonas macacae DSM 20710 = JCM 13914	28115	representative genome
GCF_005845145.1	Bacteroides ovatus	28116	representative genome
GCF_000154465.1	Alistipes putredinis DSM 17216	28117	representative genome
GCF_002161635.1	Odoribacter splanchnicus	28118	representative genome
GCF_002998435.1	Bacteroides zoogleoformans	28119	representative genome
GCF_900167415.1	Fibrobacter intestinalis	28122	representative genome
GCF_000212375.1	Porphyromonas asaccharolytica DSM 20707	28123	representative genome
GCF_900454815.1	Porphyromonas endodontalis	28124	representative genome
GCF_000262545.1	Prevotella bivia DSM 20514	28125	representative genome
GCF_000184945.1	Prevotella buccae ATCC 33574	28126	representative genome
GCF_000759265.1	Prevotella buccalis DNF00985	28127	representative genome
GCF_000430525.1	Prevotella corporis DSM 18810 = JCM 8529	28128	representative genome
GCF_900454835.1	Prevotella denticola	28129	representative genome
GCF_900454955.1	Prevotella disiens	28130	representative genome
GCF_002763715.1	Prevotella intermedia	28131	representative genome
GCF_000144405.1	Prevotella melaninogenica ATCC 25845	28132	representative genome
GCF_000220235.1	Prevotella nigrescens ATCC 33563	28133	representative genome
GCF_000185145.2	Prevotella oralis ATCC 33269	28134	representative genome
GCF_900637655.1	Prevotella oris	28135	representative genome
GCF_000224615.1	Prevotella oulorum F0390	28136	representative genome
GCF_000377625.1	Prevotella veroralis DSM 19559 = JCM 6290	28137	representative genome
GCF_000427365.1	Rikenella microfusus DSM 15922	28139	representative genome
GCF_003516125.1	Cronobacter sakazakii	28141	representative genome
GCF_013337185.1	Serratia proteamaculans	28151	representative genome
GCF_000834865.1	Yersinia kristensenii	28152	representative genome
GCF_002795405.1	Caviibacterium pharyngocola	28159	representative genome
GCF_002795425.1	Conservatibacter flavescens	28161	representative genome
GCF_011090235.1	Vibrio aestuarianus	28171	representative genome
GCF_009763765.1	Vibrio metschnikovii	28172	representative genome
GCF_000801275.2	Vibrio nigripulchritudo	28173	representative genome
GCF_000287155.2	Vibrio ordalii FS-238	28174	representative genome
GCF_000176235.1	Vibrio orientalis CIP 102891 = ATCC 33934	28175	representative genome
GCF_001746755.1	Magnetovibrio blakemorei	28181	representative genome
GCF_000306255.2	Leptospira noguchii serovar Panama str. CZ214	28182	representative genome
GCF_000313175.2	Leptospira santarosai serovar Shermani str. LT 821	28183	representative genome
GCF_001969935.1	Leptospira weilii serovar Heyan	28184	representative genome
GCF_000144695.1	Acetohalobium arabaticum DSM 5501	28187	representative genome
GCF_002302655.1	Capnocytophaga canimorsus	28188	representative genome
GCF_002302475.1	Capnocytophaga cynodegmi	28189	representative genome
GCF_011761635.1	Thermonema lapsum	28195	representative genome
GCF_000284355.1	Arcobacter butzleri ED-1	28197	representative genome
GCF_003660105.1	Arcobacter cryaerophilus ATCC 43158	28198	representative genome
GCF_000092245.1	Arcobacter nitrofigilis DSM 7299	28199	representative genome
GCF_003939045.1	Arcobacter skirrowii	28200	representative genome
GCF_003201475.1	Chelatococcus asaccharovorans	28210	representative genome
GCF_002374855.1	Sphingomonas adhaesiva	28212	representative genome
GCF_000787715.1	Sphingomonas parapaucimobilis NBRC 15100	28213	representative genome
GCF_900110225.1	Brachymonas denitrificans DSM 15123	28220	representative genome
GCF_000307105.1	Desulfobacula toluolica Tol2	28223	representative genome
GCF_000518725.1	Mesoplasma seiffertii ATCC 49495	28224	representative genome
GCF_000011225.1	Mycoplasma penetrans HF-2	28227	representative genome
GCF_000012325.1	Colwellia psychrerythraea 34H	28229	representative genome
GCF_900143105.1	Carnobacterium alterfunditum	28230	representative genome
GCF_000012925.1	Geobacter metallireducens GS-15	28232	representative genome
GCF_900102615.1	Geotoga petraea	28234	representative genome
GCF_002895605.1	Petrotoga miotherma DSM 10691	28237	representative genome
GCF_000756505.1	Ornithobacterium rhinotracheale ORT-UMN 88	28251	representative genome
GCF_000620045.1	Halomonas halodenitrificans DSM 735	28252	representative genome
GCF_004363305.1	Marinomonas communis	28254	representative genome
GCF_001720485.1	Cobetia marina	28258	representative genome
GCF_000020985.1	Thermodesulfovibrio yellowstonii DSM 11347	28262	representative genome
GCF_001055535.1	Arcanobacterium haemolyticum	28264	representative genome
GCF_003046475.1	Mycoplana dimorpha	28320	representative genome
GCF_001570605.1	Herbidospora cretacea	28444	representative genome
GCF_001722345.1	Mycobacterium intermedium	28445	representative genome
GCF_001561955.1	Anaerotignum propionicum DSM 1682	28446	representative genome
GCF_009739655.1	Clavibacter michiganensis subsp. michiganensis	28447	representative genome
GCF_001571345.1	Komagataeibacter xylinus NBRC 15237	28448	representative genome
GCF_005221305.1	Neisseria subflava	28449	representative genome
GCF_000756125.1	Burkholderia pseudomallei	28450	representative genome
GCF_001569395.1	Leptospira alstonii	28452	representative genome
GCF_009660355.1	Sphingobacterium multivorum	28454	representative genome
GCF_013340845.1	Hydrogenovibrio marinus	28885	representative genome
GCF_008704555.1	Streptomyces nitrosporeus	28894	representative genome
GCF_000747665.1	Thermoanaerobacterium saccharolyticum	28896	representative genome
GCF_002080395.1	Campylobacter helveticus	28898	representative genome
GCF_000006945.2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	reference genome
GCF_000696015.1	Mycoplasma bovis CQ-W70	28903	representative genome
GCF_002803295.2	Caedibacter taeniospiralis	28907	representative genome
GCF_006346395.1	Nocardioides plantarum	29299	representative genome
GCF_000237305.1	Streptomyces cattleya NRRL 8057 = DSM 46488	29303	representative genome
GCF_004784465.1	Streptomyces griseoluteus	29306	representative genome
GCF_000340435.2	Mycobacterium haemophilum DSM 44634	29311	representative genome
GCF_900417275.1	Mycobacterium shimoidei	29313	representative genome
GCF_010729485.1	Mycolicibacter hiberniae	29314	representative genome
GCF_009695705.1	Schaalia hyovaginalis	29316	representative genome
GCF_003208515.1	Paenarthrobacter nicotinovorans	29320	representative genome
GCF_000296405.1	Corynebacterium otitidis ATCC 51513	29321	representative genome
GCF_000183525.2	[Eubacterium] cellulosolvens 6	29322	representative genome
GCF_000175295.2	Thermoanaerobacter brockii subsp. finnii Ako-1	29323	representative genome
GCF_000955735.1	Caldicellulosiruptor naganoensis NA10	29324	representative genome
GCF_000189775.2	Thermoanaerobacterium xylanolyticum LX-11	29329	representative genome
GCF_001643245.1	Domibacillus aminovorans	29332	representative genome
GCF_002074155.1	Clostridium argentinense	29341	representative genome
GCF_900108045.1	Caloramator fervidus	29344	representative genome
GCF_013403245.1	Sedimentibacter hydroxybenzoicus DSM 7310	29345	representative genome
GCF_004295125.1	[Clostridium] scindens ATCC 35704	29347	representative genome
GCF_000154805.1	[Clostridium] spiroforme DSM 1552	29348	representative genome
GCF_000518565.1	Thermoanaerobacter thermocopriae JCM 7501	29350	representative genome
GCF_002797975.1	[Clostridium] celerecrescens 18A	29354	representative genome
GCF_000621505.1	Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832	29355	representative genome
GCF_900130005.1	Clostridium collagenovorans DSM 3089	29357	representative genome
GCF_900129815.1	Asaccharospora irregularis DSM 2635	29359	representative genome
GCF_000178835.2	Cellulosilyticum lentocellum DSM 5427	29360	representative genome
GCF_013300945.1	Tyzzerella nexilis	29361	representative genome
GCF_000175795.2	Ruminiclostridium papyrosolvens DSM 2782	29362	representative genome
GCF_000424025.1	Clostridium paraputrificum AGR2156	29363	representative genome
GCF_900111595.1	[Clostridium] polysaccharolyticum	29364	representative genome
GCF_900142225.1	Hathewaya proteolytica DSM 3090	29365	representative genome
GCF_002006345.1	Clostridium puniceum	29367	representative genome
GCF_900461315.1	Lacrimispora sphenoides	29370	representative genome
GCF_000371465.1	Clostridium thermobutyricum	29372	representative genome
GCF_002995795.1	Clostridium thermopalmarium DSM 5974	29373	representative genome
GCF_009428905.1	Desulfofundulus thermobenzoicus	29376	representative genome
GCF_006741705.1	Staphylococcus arlettae	29378	representative genome
GCF_003040695.1	Staphylococcus auricularis	29379	representative genome
GCF_003966625.1	Staphylococcus caprae	29380	representative genome
GCF_900097955.1	Staphylococcus cohnii subsp. cohnii	29382	representative genome
GCF_003019255.1	Staphylococcus kloosii	29384	representative genome
GCF_900635295.1	Staphylococcus saprophyticus subsp. saprophyticus	29385	representative genome
GCF_001028645.1	Staphylococcus capitis subsp. capitis	29388	representative genome
GCF_012277075.1	Streptococcus alactolyticus	29389	representative genome
GCF_009730315.1	Gemella morbillorum	29391	representative genome
GCF_003263915.2	Dolosigranulum pigrum	29394	representative genome
GCF_011761475.1	Saccharococcus thermophilus	29396	representative genome
GCF_000270245.1	Microlunatus phosphovorus NM-1	29405	representative genome
GCF_003258805.1	Rhodoplanes elegans	29408	representative genome
GCF_003258865.1	Rhodoplanes roseus	29409	representative genome
GCF_000507865.1	Helicobacter canis NCTC 12740	29419	representative genome
GCF_002028545.1	Nitrobacter vulgaris	29421	representative genome
GCF_900639795.1	Legionella brunensis	29422	representative genome
GCF_001467925.1	Legionella oakridgensis	29423	representative genome
GCF_003323815.1	Acinetobacter haemolyticus	29430	representative genome
GCF_001591185.1	Psychrobacter phenylpyruvicus DSM 7000 = NBRC 102152	29432	representative genome
GCF_001636015.1	Moraxella ovis	29433	representative genome
GCF_013408425.1	Pseudomonas flavescens	29435	representative genome
GCF_000164015.3	Pseudomonas savastanoi pv. savastanoi NCPPB 3335	29438	representative genome
GCF_002813445.1	Pseudomonas tolaasii NCPPB 2192	29442	representative genome
GCF_004342585.1	Paucimonas lemoignei	29443	representative genome
GCF_009931595.1	Xanthomonas albilineans	29447	representative genome
GCF_000379145.1	Bradyrhizobium elkanii USDA 76	29448	representative genome
GCF_003259755.1	Rhizobium etli	29449	representative genome
GCF_001675175.1	Rhizobium leucaenae	29450	representative genome
GCF_000007125.1	Brucella melitensis bv. 1 str. 16M	29459	representative genome
GCF_900446125.1	Brucella neotomae	29460	representative genome
GCF_000007505.1	Brucella suis 1330	29461	representative genome
GCF_902810435.1	Veillonella parvula	29466	representative genome
GCF_000740965.1	Pectobacterium atrosepticum	29471	representative genome
GCF_902168495.1	Yersinia aldovae	29483	representative genome
GCF_000754805.1	Yersinia frederiksenii ATCC 33641	29484	representative genome
GCF_000834455.1	Yersinia rohdei	29485	representative genome
GCF_000964565.1	Yersinia ruckeri	29486	representative genome
GCF_002204205.1	Photorhabdus luminescens	29488	representative genome
GCF_000687355.2	Aeromonas enteropelogenes	29489	representative genome
GCF_006364355.1	Vibrio furnissii	29494	representative genome
GCF_012275065.1	Vibrio navarrensis	29495	representative genome
